1426470590.171813 ccnd[4010]: CCND_DEBUG=7 CCND_CAP=1750
1426470590.171912 ccnd[4010]: listening on /tmp/.ccnd.sock.63001
1426470590.171936 ccnd[4010]: accepting ipv4 datagrams on fd 4 rcvbuf 212992
1426470590.171951 ccnd[4010]: accepting ipv4 connections on fd 5
1426470590.171965 ccnd[4010]: accepting ipv6 datagrams on fd 6 rcvbuf 212992
1426470590.171977 ccnd[4010]: accepting ipv6 connections on fd 7
1426470590.225651 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0013/7=E7C2EBAAC327B36D87D4584F2A8E5CC6D7D35F7FF335D04643208FB35369EA (4506 bytes)
1426470590.225694 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0014/%CCDX=8AB9933199F13C1DC92F943C809614230548D09352BF9C5133D0BF90A5 (4506 bytes)
1426470590.225736 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0015/WR=8184DE47782C8157F1FBE4578D9B46C94BFF91577251B55FA10432C55C44 (4506 bytes)
1426470590.225784 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0016/=13A9B812B42E13A23DAE570C2D6859A3A336343B914FBDC63ECC1C644BB17BC5 (4506 bytes)
1426470590.225826 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0017/=9EC84DC4FF358C5EA6B54190613DA0C708DCF5E3AF43BB166846D01859BDC966 (4506 bytes)
1426470590.225868 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0018/%97i7y=F697531D49CD85249495729AD770AFBDFB5AD97CA09D881935FC10D4 (4506 bytes)
1426470590.225915 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0019/%D82=D1DB8FC6A1AFDCC1A4D81DD37E085BA99E74F0A1AB94C7985223C99FE60A (4506 bytes)
1426470590.225957 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=001A/=DE0E5C42A19759788F49525CE9E7628D9E521D21A4B5B64FFC2021CF985AA545 (4506 bytes)
1426470590.226000 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=001B/=9C1EF993499DC3AC48361B224EAE0CC0486C12B1CAF315C128A9791D38B7C03B (4506 bytes)
1426470590.226047 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=001C/%3C1=FCBB4400471FBDD4CD4BA3194530D585FDC721012C42AF6BA477F57B9A17 (4506 bytes)
1426470590.226089 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=001D/f=285B671B0A8063BD3B3B0D9CD44FAB1A82745E569216EDC30F34771CFCDE86 (4506 bytes)
1426470590.226130 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=001E/=EA24789BCA99575BD62CD7A579A849AC71134AC0A6220ABE2052F05E1A3C6E66 (4506 bytes)
1426470590.226177 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=001F/D=CFCF2C1524D4D4015F38E773B4B95ED9CD5258DE440895657F5C4F2FA09AEF (4506 bytes)
1426470590.226220 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0020/%F3kj%E4Xd=8BFB6450D761D928DC503BBD634454271FF9B9F92B5D87FC6211 (4506 bytes)
1426470590.226263 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0021/PT%D8H=1FB922E5E4837FE4598ABE42D04AA4EE98C68D97372AB90E646C2410 (4506 bytes)
1426470590.226309 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0022/%24r7=9CE926A60BD13DB6D5DDFBF98D521C64CAF392D823792F8CFC483D2DF3 (4506 bytes)
1426470590.226351 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0023/%5DE=835D1591B668E15B3E7902365B07709DDC51111DDD00E9BCD1D75921A704 (4506 bytes)
1426470590.226395 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0024/=F35CE5CE45B40A57F8D7E64FC8E09996D979F313C8F1A58216509BC968748308 (4506 bytes)
1426470590.226504 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0025/=A425D0252559C1F9011B5733352859BC77757A6BDF32C21F537124DBF178FA4B (4506 bytes)
1426470590.226577 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0026/=F2AB8A32490C40C3C44C9F037175084C38105D56BB8590FE1AF441443C06E216 (4506 bytes)
1426470590.226660 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0027/b=F68FEAD7E2218C289F8E458DECDCF93D59950BB7E5689413CB56761F0251C0 (4506 bytes)
1426470590.226753 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0028/K%AEF=C2ABEA137901A7A9BCF9FE1F08013901D6ABFA1DB4B94C6D685C87EF1D (4506 bytes)
1426470590.226842 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=0029/=C38F36CC7E920354D9730AFF388B854A9081778EC6554E5C7FA6A1A56838820F (4506 bytes)
1426470590.226897 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=002A/=D49755B81E4D08F288D22B0CDA8C6F1354068639815245393FF3ABD8A444C702 (4506 bytes)
1426470590.226998 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=002B/K%27H2=ADBCEEFFC0C238614B1194FEE8216F6AD3CAF47E6D01A349D138E1F2 (4506 bytes)
1426470590.227089 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=002C/=EBD73397E915691DD78DD6F48586CFEAEE8D4405F779CD263329FB4FA139F3C6 (4506 bytes)
1426470590.227176 ccnd[4010]: debug.4920 content_from 6 ccnx:/test/bulk/5000000.dat/=FD055059973FA3/=002D/=3DF12A0AFA90EB20399EED32EA4FFDE2FE88BDA05BF9F254D7170B1DA2169A8A (4506 bytes)
